+---------------------+------------+-------+---------------+------+-----------------+--------+------------+-------------------+--------+------------------+-----------------+
| Trial name          | status     | loc   |   conv_layers |   l1 |   linear_layers |     lr |   momentum |   output_features |   iter |   total time (s) |   test_accuracy |
|---------------------+------------+-------+---------------+------+-----------------+--------+------------+-------------------+--------+------------------+-----------------|
| DEFAULT_5dea9_00000 | TERMINATED |       |             2 |  100 |               2 | 0.0001 |        0.5 |                10 |      1 |          70.4325 |         63.9959 |
| DEFAULT_5dea9_00001 | TERMINATED |       |             3 |  100 |               2 | 0.0001 |        0.5 |                10 |      1 |          70.6112 |         49.7972 |
| DEFAULT_5dea9_00002 | TERMINATED |       |             2 |  200 |               2 | 0.0001 |        0.5 |                10 |      1 |          70.0255 |         50      |
| DEFAULT_5dea9_00003 | TERMINATED |       |             3 |  200 |               2 | 0.0001 |        0.5 |                10 |      1 |          70.1427 |         50      |
| DEFAULT_5dea9_00004 | TERMINATED |       |             2 |  100 |               3 | 0.0001 |        0.5 |                10 |      1 |          72.8237 |         50.1014 |
| DEFAULT_5dea9_00005 | TERMINATED |       |             3 |  100 |               3 | 0.0001 |        0.5 |                10 |      1 |          72.8127 |         50      |
| DEFAULT_5dea9_00006 | TERMINATED |       |             2 |  200 |               3 | 0.0001 |        0.5 |                10 |      1 |          74.1324 |         49.3915 |
| DEFAULT_5dea9_00007 | TERMINATED |       |             3 |  200 |               3 | 0.0001 |        0.5 |                10 |      1 |          74.2392 |         50      |
| DEFAULT_5dea9_00008 | TERMINATED |       |             2 |  100 |               2 | 0.01   |        0.5 |                10 |      1 |          69.6561 |         89.1481 |
| DEFAULT_5dea9_00009 | TERMINATED |       |             3 |  100 |               2 | 0.01   |        0.5 |                10 |      1 |          69.8176 |         73.3266 |
| DEFAULT_5dea9_00010 | TERMINATED |       |             2 |  200 |               2 | 0.01   |        0.5 |                10 |      1 |          71.6037 |         81.643  |
